disasternumber,state,declarationtype,incidenttype,fydeclared,declarationdate,designated_area_count,declaration_delay_days,ongoing_at_declaration,declaration_year,declaration_month,declaration_quarter,declaration_weekday,declaration_season,previous_state_disasters,previous_incident_disasters,previous_state_incident_disasters,days_since_previous_state_disaster,days_since_previous_incident,totalobligated,log_totalobligated
3148,NJ,EM,Hurricane,1999,1999-09-17,21,1,1,1999,9,3,4,Autumn,20,118,2,563.0,1.0,2032513.9300000002,14.52478446601058
1295,NJ,DR,Hurricane,1999,1999-09-18,9,2,0,1999,9,3,5,Autumn,21,120,3,1.0,0.0,40662526.05,17.520817514995617
1294,PA,DR,Hurricane,1999,1999-09-18,8,2,1,1999,9,3,5,Autumn,34,121,1,17.0,0.0,11103894.02,16.22280650743331
1293,VA,DR,Hurricane,1999,1999-09-18,48,5,1,1999,9,3,5,Autumn,29,122,5,2.0,0.0,19894763.31,16.805967155077845
1296,NY,DR,Hurricane,1999,1999-09-19,15,3,0,1999,9,3,6,Autumn,49,123,6,1.0,1.0,41293482.28,17.536215255650628
1297,DE,DR,Hurricane,1999,1999-09-21,1,6,0,1999,9,3,1,Autumn,8,124,0,585.0,2.0,3383786.93,15.034506329304786
1299,SC,DR,Hurricane,1999,1999-09-21,27,7,1,1999,9,3,1,Autumn,9,125,5,6.0,0.0,21023542.65,16.861153493885535
1300,FL,DR,Hurricane,1999,1999-09-22,12,9,1,1999,9,3,2,Autumn,76,126,16,8.0,1.0,34472358.4,17.355668384076328
1301,NM,DR,Severe Storm,1999,1999-09-22,8,68,0,1999,9,3,2,Autumn,21,236,1,447.0,21.0,1971615.03,14.494364084232732
1302,CT,DR,Hurricane,1999,1999-09-23,3,7,0,1999,9,3,3,Autumn,12,127,4,1338.0,1.0,1880626.99,14.447116316262159
1303,MD,DR,Hurricane,1999,1999-09-24,11,8,0,1999,9,3,4,Autumn,14,128,1,1102.0,1.0,5462529.95,15.513422784273821
3150,FL,EM,Hurricane,2000,1999-10-15,29,1,1,1999,10,4,4,Autumn,77,129,17,23.0,21.0,547528.1,13.213170889945276
1305,NH,DR,Hurricane,2000,1999-10-18,3,32,0,1999,10,4,0,Autumn,16,130,1,473.0,3.0,594693.8200000001,13.295803645382662
1306,FL,DR,Hurricane,2000,1999-10-20,19,6,1,1999,10,4,2,Autumn,78,131,18,5.0,2.0,106558819.03,18.484207691403
1307,VT,DR,Severe Storm,2000,1999-11-10,10,55,0,1999,11,4,2,Autumn,17,238,3,498.0,26.0,1010652.61,13.826107818127404
1308,ME,DR,Hurricane,2000,1999-11-18,5,63,0,1999,11,4,3,Autumn,26,134,2,301.0,1.0,920741.26,13.732935428081374
1309,VI,DR,Hurricane,2000,1999-11-23,3,6,0,1999,11,4,1,Autumn,14,135,8,6.0,5.0,4835954.62,15.391589313668922
3153,MA,EM,Fire,2000,1999-12-06,1,3,1,1999,12,4,0,Winter,20,323,3,531.0,14.0,3101637.94,14.947441220070466
1310,KY,DR,Tornado,2000,2000-01-10,11,7,0,2000,1,1,0,Winter,35,142,4,51.0,147.0,5006775.82,15.426302916721685
1311,GA,DR,Severe Storm,2000,2000-01-28,51,6,1,2000,1,1,4,Winter,32,239,5,136.0,79.0,42172964.43,17.55728994409455
1312,NC,DR,Severe Storm,2000,2000-01-31,33,7,1,2000,1,1,0,Winter,34,240,3,137.0,3.0,27453052.22,17.12798794814969
1313,SC,DR,Severe Storm,2000,2000-01-31,38,9,1,2000,1,1,0,Winter,10,241,0,132.0,0.0,8783080.6,15.988337883531264
1314,LA,DR,Snowstorm,2000,2000-02-15,8,19,0,2000,2,1,1,Winter,44,74,1,312.0,342.0,2642347.29,14.787178583536324
1315,GA,DR,Severe Storm,2000,2000-02-15,6,1,0,2000,2,1,1,Winter,33,242,6,18.0,15.0,2219394.76,14.612745536620533
1316,AK,DR,Severe Storm,2000,2000-02-17,14,58,1,2000,2,1,3,Winter,27,243,2,1350.0,2.0,10799703.79,16.1950293574616
1317,AL,DR,Severe Storm,2000,2000-02-18,3,27,0,2000,2,1,4,Winter,48,244,17,147.0,1.0,3452307.48,15.054553689881145
1318,VA,DR,Severe Storm,2000,2000-02-28,109,34,0,2000,2,1,0,Winter,30,245,3,163.0,10.0,13644922.94,16.428878137906036
1319,WV,DR,Flood,2000,2000-02-28,26,10,0,2000,2,1,0,Winter,32,657,23,607.0,159.0,5142093.86,15.452971114712488
1320,KY,DR,Severe Storm,2000,2000-02-28,16,10,1,2000,2,1,0,Winter,36,246,5,49.0,0.0,2855552.22,14.864776154630063
1323,TX,DR,Tornado,2000,2000-04-07,1,10,0,2000,4,2,4,Spring,175,143,14,93.0,88.0,3770866.88,15.142815739827203
1324,MD,DR,Severe Storm,2000,2000-04-10,15,76,0,2000,4,2,0,Spring,15,249,2,199.0,24.0,10948402.26,16.2087041825893
1325,DC,DR,Severe Storm,2000,2000-04-10,1,76,0,2000,4,2,0,Spring,4,250,3,1551.0,0.0,1416917.38,14.163994916449267
1326,ME,DR,Severe Storm,2000,2000-04-28,8,31,0,2000,4,2,4,Spring,27,251,6,162.0,18.0,2191132.02,14.599929328738355
1327,KS,DR,Severe Storm,2000,2000-05-03,3,14,0,2000,5,2,2,Spring,23,252,5,365.0,5.0,619592.3099999999,13.336818590177986
