disasternumber,totalnumberiaapproved,totalamountihpapproved,totalamounthaapproved,totalamountonaapproved,totalobligatedamountpa,totalobligatedamountcatab,totalobligatedamountcatc2g,totalobligatedamounthmgp,paloaddate,ialoaddate,disasternumber_filled,totalnumberiaapproved_filled,totalamountihpapproved_filled,totalamounthaapproved_filled,totalamountonaapproved_filled,totalobligatedamountpa_filled,totalobligatedamountcatab_filled,totalobligatedamountcatc2g_filled,totalobligatedamounthmgp_filled
2200,,,,,,,,,,,2200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2203,,,,,,,,,,,2203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2204,,,,,,,,,,,2204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2205,,,,,,,,,,,2205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2206,,,,,,,,,,,2206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2207,,,,,,,,,,,2207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2208,,,,,,,,,,,2208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2209,,,,,,,,,,,2209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5239,,,,,6245239.57,,,0.0,2026-02-06,,5239,0.0,0.0,0.0,0.0,6245239.57,0.0,0.0,0.0
2211,,,,,,,,,,,2211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2212,,,,,,,,,,,2212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2097,,,,,250772.0,250772.0,,,2026-02-06,,2097,0.0,0.0,0.0,0.0,250772.0,250772.0,0.0,0.0
2214,,,,,,,,,,,2214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2215,,,,,,,,,,,2215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2099,,,,,86755.2,86755.2,,,2026-02-06,,2099,0.0,0.0,0.0,0.0,86755.2,86755.2,0.0,0.0
2747,,,,,65863.96,,,0.0,2026-02-06,,2747,0.0,0.0,0.0,0.0,65863.96,0.0,0.0,0.0
5158,,,,,415169.62,97469.35,,112088.0,2026-02-06,,5158,0.0,0.0,0.0,0.0,415169.62,97469.35,0.0,112088.0
5194,,,,,3126981.79,14074.15,,3071122.89,2026-02-06,,5194,0.0,0.0,0.0,0.0,3126981.79,14074.15,0.0,3071122.89
5122,,,,,1102989.32,54779.68,,0.0,2026-02-06,,5122,0.0,0.0,0.0,0.0,1102989.32,54779.68,0.0,0.0
2082,,,,,265690.51,265690.51,,,2026-02-06,,2082,0.0,0.0,0.0,0.0,265690.51,265690.51,0.0,0.0
2451,,,,,449514.35,2572.57,,,2026-02-06,,2451,0.0,0.0,0.0,0.0,449514.35,2572.57,0.0,0.0
2167,,,,,21858.2,21858.2,,,2026-02-06,,2167,0.0,0.0,0.0,0.0,21858.2,21858.2,0.0,0.0
2246,,,,,321.0,321.0,,,2026-02-06,,2246,0.0,0.0,0.0,0.0,321.0,321.0,0.0,0.0
5531,,,,,,,,0.0,,,5531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5044,,,,,1077214.49,36947.91,,0.0,2026-02-06,,5044,0.0,0.0,0.0,0.0,1077214.49,36947.91,0.0,0.0
2794,,,,,181364.45,3680.63,,0.0,2026-02-06,,2794,0.0,0.0,0.0,0.0,181364.45,3680.63,0.0,0.0
2754,,,,,65865.8,,,0.0,2026-02-06,,2754,0.0,0.0,0.0,0.0,65865.8,0.0,0.0,0.0
5235,,,,,617443.25,21649.79,,0.0,2026-02-06,,5235,0.0,0.0,0.0,0.0,617443.25,21649.79,0.0,0.0
2381,,,,,53686.5,53686.5,,,2026-02-06,,2381,0.0,0.0,0.0,0.0,53686.5,53686.5,0.0,0.0
5207,,,,,37600.59,37035.31,,0.0,2026-02-06,,5207,0.0,0.0,0.0,0.0,37600.59,37035.31,0.0,0.0
5059,,,,,1329554.54,88250.84,,0.0,2026-02-06,,5059,0.0,0.0,0.0,0.0,1329554.54,88250.84,0.0,0.0
3256,,,,,51276.45,51276.45,,,2026-02-06,,3256,0.0,0.0,0.0,0.0,51276.45,51276.45,0.0,0.0
2185,,,,,558515.77,558515.77,,,2026-02-06,,2185,0.0,0.0,0.0,0.0,558515.77,558515.77,0.0,0.0
2160,,,,,10498.6,10498.6,,,2026-02-06,,2160,0.0,0.0,0.0,0.0,10498.6,10498.6,0.0,0.0
2236,,,,,,,,,,,2236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2180,,,,,8006377.4,8006377.4,,,2026-02-06,,2180,0.0,0.0,0.0,0.0,8006377.4,8006377.4,0.0,0.0
2199,,,,,196740.6,194185.6,2555.0,,2026-02-06,,2199,0.0,0.0,0.0,0.0,196740.6,194185.6,2555.0,0.0
5242,,,,,79796.27,,,0.0,2026-02-06,,5242,0.0,0.0,0.0,0.0,79796.27,0.0,0.0,0.0
2767,,,,,28163.31,,,0.0,2026-02-06,,2767,0.0,0.0,0.0,0.0,28163.31,0.0,0.0,0.0
2241,,,,,,,,,,,2241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2154,,,,,14725.9,14725.9,,,2026-02-06,,2154,0.0,0.0,0.0,0.0,14725.9,14725.9,0.0,0.0
1775,,,,,9638507.73,711874.01,8615701.72,93369.0,2026-02-06,,1775,0.0,0.0,0.0,0.0,9638507.73,711874.01,8615701.72,93369.0
1714,,,,,2306258.82,75893.92,2223734.18,27051.0,2026-02-06,,1714,0.0,0.0,0.0,0.0,2306258.82,75893.92,2223734.18,27051.0
